rank,score,address,neighborhood,supervisor_district,nov_count,last_nov_date,units,year_built,assessed_improvement_value,block,lot,parcel_number,lat,lng
46,47.77,118 Waverly Pl,Chinatown,3,3,2024-12-10,9,1906,965817,0210,037,0210037,37.794477231,-122.406743125
47,47.76,547 Divisadero St,Hayes Valley,5,3,2025-03-07,3,1900,431725,1204,004,1204004,37.774620181,-122.43805407
48,47.41,905 Columbus Av,Russian Hill,3,2,2025-05-08,3,1916,4717687,0065,015,0065015,37.802894831,-122.414333926
49,47.28,1789 Mckinnon Av,Bayview Hunters Point,10,3,2025-01-29,2,1924,283450,5305,046,5305046,37.737648439,-122.392918919
50,47.16,686 Broadway,Chinatown,3,3,2024-12-11,7,1906,429082,0146,011,0146011,37.797859691,-122.408426214
51,47.15,1436 Grant Av,North Beach,3,2,2025-11-18,11,1913,2809080,0115,020,0115020,37.800302145,-122.407199188
52,46.88,1470 48th Av,Sunset/Parkside,4,3,2024-11-21,6,1962,345298,1806,044,1806044,37.759103545,-122.507652074
53,46.86,20 Romolo St,North Beach,3,2,2025-10-29,15,1907,2599114,0145,023,0145023,37.798500972,-122.406214759
54,46.8,1431 Jackson St,Russian Hill,3,4,2023-04-14,4,1908,839656,0186,023,0186023,37.794240846,-122.418606405
55,46.74,1325 Powell St,Chinatown,3,3,2024-09-19,8,1910,642513,0159,004,0159004,37.796802971,-122.410333354
56,46.67,655 Kansas St,Potrero Hill,10,2,2023-06-21,34,1964,8556794,4030,031,4030031,37.761475784,-122.40264647
